,Player_Id,Team_Id,Name,Year,Position,Games_Played,passing yards,passing touchdowns,passing interceptions,rushing yards,rushing touchdowns,fumbles,receiving yards,receiving touchdowns,receptions,kick returns,punt returns,total annual points
28,05b0c05e-ec5b-4c41-9ff6-55ffcbdab955,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Alex Van Pelt,2002,QB,2,0.2,0,0,0.0,0,0,0.0,0,0,0,0,0.2
29,229596c9-a494-4293-8bbc-76203995b92f,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Shawn Bryson,2002,RB,6,0.0,0,0,3.5,0,-2,0.9,0,1,0,0,2.4
30,2dddfbe1-a165-4faa-98e3-d0a8e2dc4c03,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Charles Johnson,2002,WR,16,0.0,0,0,0.0,0,0,3.9,0,3,0,0,3.9
31,39536e35-74fb-4287-8550-1304b16256a5,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Jay Riemersma,2002,TE,16,0.0,0,0,0.0,0,0,35.0,0,32,0,0,35.0
32,44b651f0-6930-447e-a76e-6b5058b4cdf3,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Travis Henry,2002,RB,16,0.0,0,0,143.8,78,-22,30.9,6,43,0,0,236.70000000000002
33,5e9eb845-a21d-44ba-9269-059733eb837a,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Brady McDonnell,2002,TE,6,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0
34,684592b1-e81f-4cdd-a44d-ab10d5dde633,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Eric Moulds,2002,WR,16,0.0,0,0,0.7000000000000001,0,-2,129.20000000000002,60,100,0,0,187.90000000000003
35,7407ab28-c9d3-44bf-b5fe-e43357c2bccb,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Peerless Price,2002,WR,16,0.0,0,0,-1.3,0,-4,125.2,54,94,0,0,173.9
36,a002caf1-4c15-4b91-b352-ad87cb96b13e,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Phillip Crosby,2002,FB,16,0.0,0,0,0.0,0,0,3.3000000000000003,0,4,0,0,3.3000000000000003
37,a5255f84-0314-4264-830f-578e3977f40a,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Cory Geason,2002,TE,10,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0
